ticket_id,user_input_text,category,priority,user_name,device,application,system,error_message,department,annotated_for_ner,cleaned_input
T1001,LAN connection not working,Hardware Issue,Low,,,,,,Finance,no,lan connection not working
T1002,Internet is very slow today,Hardware Issue,Medium,,,,,,Sales,no,internet is very slow today
T1003,Keyboard keys not responding properly,Other / General Support,Medium,,,,,,Admin,no,keyboard keys not responding properly
T1004,Anita reports: Application crashes when opening in Teams on SRV-22,Hardware Issue,Low,Anita,mouse,Teams,SRV-22,,Sales,yes,anita reports application crashes when opening in teams on srv-22
T1005,Email delivery delayed,Hardware Issue,Low,,,,,,Operations,no,email delivery delayed
T1006,Mouse not detected after system restart,Access / Authentication Issue,High,,,,,,Admin,no,mouse not detected after system restart
T1007,Unable to login due to access denied,Software Issue,Low,,,,,,Sales,no,unable to login due to access denied
T1008,VPN not connecting from home,Email / Communication Issue,High,,,,,,Finance,no,vpn not connecting from home
T1009,Karan reports: VPN not connecting from home in Excel on SRV-25,Access / Authentication Issue,High,Karan,keyboard,Excel,SRV-25,,Finance,yes,karan reports vpn not connecting from home in excel on srv-25
T1010,Priya reports: Email delivery delayed in InternalTool showing 404 error,Email / Communication Issue,High,Priya,,InternalTool,,404 error,Operations,yes,priya reports email delivery delayed in internaltool showing 404 error
T1011,Karan reports: Outlook not syncing emails,Email / Communication Issue,High,Karan,,,,,IT,yes,karan reports outlook not syncing emails
T1012,VPN not connecting from home,Hardware Issue,High,,,,,,Sales,no,vpn not connecting from home
T1013,Outlook not syncing emails,Email / Communication Issue,Medium,,,,,,Finance,no,outlook not syncing emails
T1014,Unable to login due to access denied,Network Issue,Low,,,,,,HR,no,unable to login due to access denied
T1015,LAN connection not working,Access / Authentication Issue,High,,,,,,Sales,no,lan connection not working
T1016,Keyboard keys not responding properly,Network Issue,Low,,,,,,Admin,no,keyboard keys not responding properly
T1017,Anita reports: Software installation failing with error in Chrome,Access / Authentication Issue,High,Anita,,Chrome,,,Sales,yes,anita reports software installation failing with error in chrome
T1018,Software installation failing with error,Other / General Support,High,,,,,,Operations,no,software installation failing with error
T1019,Internet is very slow today,Other / General Support,High,,,,,,Admin,no,internet is very slow today
T1020,Application crashes when opening,Network Issue,High,,,,,,IT,no,application crashes when opening
T1021,Mouse not detected after system restart showing slow performance,Other / General Support,Medium,,,,,slow performance,Admin,yes,mouse not detected after system restart showing slow performance
T1022,Karan reports: VPN not connecting from home in Teams on SRV-47 showing access denied,Access / Authentication Issue,High,Karan,keyboard,Teams,SRV-47,access denied,HR,yes,karan reports vpn not connecting from home in teams on srv-47 showing access denied
T1023,Neha reports: LAN connection not working in VPN on SRV-10 showing login failed,Software Issue,Low,Neha,keyboard,VPN,SRV-10,login failed,Admin,yes,neha reports lan connection not working in vpn on srv-10 showing login failed
T1024,Unable to login due to access denied on SRV-58 showing login failed,Other / General Support,Low,,,,SRV-58,login failed,HR,yes,unable to login due to access denied on srv-58 showing login failed
T1025,Mouse not detected after system restart,Email / Communication Issue,High,,,,,,HR,yes,mouse not detected after system restart
T1026,Application crashes when opening,Software Issue,High,,,,,,IT,no,application crashes when opening
T1027,Email delivery delayed,Access / Authentication Issue,High,,,,,,IT,no,email delivery delayed
T1028,Sneha reports: Outlook not syncing emails in SAP on SRV-57 showing connection timeout,Software Issue,Medium,Sneha,monitor,SAP,SRV-57,connection timeout,Operations,yes,sneha reports outlook not syncing emails in sap on srv-57 showing connection timeout
T1029,Mouse not detected after system restart,Access / Authentication Issue,Medium,,,,,,Sales,no,mouse not detected after system restart
T1030,Outlook not syncing emails,Email / Communication Issue,Low,,,,,,Sales,no,outlook not syncing emails
T1031,VPN not connecting from home,Email / Communication Issue,High,,,,,,IT,no,vpn not connecting from home
T1032,Keyboard keys not responding properly,Hardware Issue,Low,,,,,,Admin,no,keyboard keys not responding properly
T1033,Outlook not syncing emails,Email / Communication Issue,Low,,,,,,Admin,no,outlook not syncing emails
T1034,VPN not connecting from home,Network Issue,Medium,,,,,,HR,no,vpn not connecting from home
T1035,Keyboard keys not responding properly,Access / Authentication Issue,Low,,,,,,Admin,no,keyboard keys not responding properly
T1036,Unable to login due to access denied on SRV-15,Hardware Issue,Medium,,,,SRV-15,,Admin,yes,unable to login due to access denied on srv-15
T1037,Unable to login due to access denied,Network Issue,High,,,,,,HR,no,unable to login due to access denied
T1038,LAN connection not working,Hardware Issue,Low,,,,,,Finance,no,lan connection not working
T1039,Email delivery delayed,Network Issue,High,,,,,,Operations,no,email delivery delayed
T1040,VPN not connecting from home,Hardware Issue,Low,,,,,,Finance,no,vpn not connecting from home
T1041,Email delivery delayed,Hardware Issue,Medium,,,,,,Sales,no,email delivery delayed
T1042,Software installation failing with error,Network Issue,High,,,,,,Operations,no,software installation failing with error
T1043,Sneha reports: Software installation failing with error in VPN,Hardware Issue,Low,Sneha,keyboard,VPN,,,Operations,yes,sneha reports software installation failing with error in vpn
T1044,Unable to login due to access denied,Email / Communication Issue,Medium,,,,,,Operations,no,unable to login due to access denied
T1045,Application crashes when opening,Access / Authentication Issue,Low,,,,,,HR,no,application crashes when opening
T1046,Internet is very slow today,Hardware Issue,Medium,,,,,,Operations,no,internet is very slow today
T1047,Mouse not detected after system restart,Software Issue,Medium,,,,,,Finance,no,mouse not detected after system restart
T1048,Internet is very slow today,Access / Authentication Issue,Low,,,,,,HR,no,internet is very slow today
T1049,Email delivery delayed,Software Issue,Low,,,,,,Operations,no,email delivery delayed
T1050,Keyboard keys not responding properly in SAP on SRV-14 showing server not reachable,Other / General Support,Low,,monitor,SAP,SRV-14,server not reachable,Finance,yes,keyboard keys not responding properly in sap on srv-14 showing server not reachable
T1051,LAN connection not working,Software Issue,High,,,,,,Finance,no,lan connection not working
T1052,Keyboard keys not responding properly,Network Issue,Medium,,,,,,Finance,no,keyboard keys not responding properly
T1053,Software installation failing with error,Other / General Support,High,,desktop,,,,Admin,yes,software installation failing with error
T1054,VPN not connecting from home,Email / Communication Issue,Medium,,,,,,Operations,no,vpn not connecting from home
T1055,Email delivery delayed,Access / Authentication Issue,Low,,,,,,HR,no,email delivery delayed
T1056,VPN not connecting from home in Chrome showing server not reachable,Software Issue,Medium,,laptop,Chrome,,server not reachable,Admin,yes,vpn not connecting from home in chrome showing server not reachable
T1057,Mouse not detected after system restart,Hardware Issue,Medium,,,,,,IT,no,mouse not detected after system restart
T1058,Unable to login due to access denied,Access / Authentication Issue,Low,,,,,,Operations,no,unable to login due to access denied
T1059,Software installation failing with error,Access / Authentication Issue,Medium,,,,,,HR,no,software installation failing with error
T1060,VPN not connecting from home,Network Issue,Low,,,,,,Operations,no,vpn not connecting from home
T1061,Outlook not syncing emails,Software Issue,High,,,,,,Finance,no,outlook not syncing emails
T1062,Mouse not detected after system restart,Email / Communication Issue,High,,,,,,IT,no,mouse not detected after system restart
T1063,Karan reports: Mouse not detected after system restart in SAP on SRV-24,Email / Communication Issue,Low,Karan,,SAP,SRV-24,,Admin,yes,karan reports mouse not detected after system restart in sap on srv-24
T1064,Internet is very slow today,Email / Communication Issue,High,,,,,,IT,no,internet is very slow today
T1065,Application crashes when opening,Software Issue,Low,,,,,,HR,no,application crashes when opening
T1066,Application crashes when opening,Access / Authentication Issue,Low,,,,,,Sales,no,application crashes when opening
T1067,Keyboard keys not responding properly,Hardware Issue,High,,,,,,Sales,no,keyboard keys not responding properly
T1068,VPN not connecting from home,Access / Authentication Issue,Low,,,,,,Admin,no,vpn not connecting from home
T1069,VPN not connecting from home,Network Issue,Medium,,,,,,IT,no,vpn not connecting from home
T1070,Karan reports: Unable to login due to access denied in Teams on SRV-28,Software Issue,Low,Karan,mouse,Teams,SRV-28,,Admin,yes,karan reports unable to login due to access denied in teams on srv-28
T1071,Mouse not detected after system restart,Access / Authentication Issue,Low,,,,,,Admin,no,mouse not detected after system restart
T1072,Internet is very slow today,Network Issue,Low,,,,,,Operations,no,internet is very slow today
T1073,VPN not connecting from home,Email / Communication Issue,Low,,,,,,IT,no,vpn not connecting from home
T1074,LAN connection not working,Network Issue,Medium,,,,,,HR,no,lan connection not working
T1075,VPN not connecting from home,Email / Communication Issue,Low,,,,,,Admin,no,vpn not connecting from home
T1076,Software installation failing with error,Email / Communication Issue,Medium,,,,,,IT,no,software installation failing with error
T1077,Unable to login due to access denied,Network Issue,Low,,,,,,Sales,no,unable to login due to access denied
T1078,Email delivery delayed,Network Issue,Medium,,,,,,Sales,no,email delivery delayed
T1079,Unable to login due to access denied,Other / General Support,Medium,,,,,,Admin,no,unable to login due to access denied
T1080,Mouse not detected after system restart,Network Issue,Medium,,,,,,Admin,no,mouse not detected after system restart
T1081,Email delivery delayed,Software Issue,Medium,,,,,,Operations,no,email delivery delayed
T1082,Keyboard keys not responding properly,Network Issue,Low,,,,,,IT,no,keyboard keys not responding properly
T1083,Karan reports: Outlook not syncing emails in Outlook showing server not reachable,Access / Authentication Issue,Medium,Karan,,Outlook,,server not reachable,HR,yes,karan reports outlook not syncing emails in outlook showing server not reachable
T1084,Sneha reports: Software installation failing with error in Outlook showing blue screen,Access / Authentication Issue,High,Sneha,PC,Outlook,,blue screen,Admin,yes,sneha reports software installation failing with error in outlook showing blue screen
T1085,VPN not connecting from home,Access / Authentication Issue,Medium,,,,,,HR,no,vpn not connecting from home
T1086,Keyboard keys not responding properly,Hardware Issue,Medium,,,,,,Admin,no,keyboard keys not responding properly
T1087,Anita reports: VPN not connecting from home on SRV-36,Access / Authentication Issue,Medium,Anita,,,SRV-36,,HR,yes,anita reports vpn not connecting from home on srv-36
T1088,Software installation failing with error,Software Issue,Medium,,,,,,Operations,no,software installation failing with error
T1089,Karan reports: Unable to login due to access denied in Outlook on SRV-27 showing login failed,Software Issue,High,Karan,,Outlook,SRV-27,login failed,Sales,yes,karan reports unable to login due to access denied in outlook on srv-27 showing login failed
T1090,VPN not connecting from home,Other / General Support,High,,,,,,IT,no,vpn not connecting from home
T1091,VPN not connecting from home,Network Issue,High,,,,,,IT,no,vpn not connecting from home
T1092,Keyboard keys not responding properly,Email / Communication Issue,High,,,,,,IT,no,keyboard keys not responding properly
T1093,Application crashes when opening on SRV-27 showing login failed,Network Issue,Low,,,,SRV-27,login failed,Finance,yes,application crashes when opening on srv-27 showing login failed
T1094,Software installation failing with error,Network Issue,Low,,,,,,Sales,no,software installation failing with error
T1095,Outlook not syncing emails,Access / Authentication Issue,Medium,,,,,,Admin,no,outlook not syncing emails
T1096,Rahul reports: Email delivery delayed on SRV-28,Access / Authentication Issue,High,Rahul,,,SRV-28,,HR,yes,rahul reports email delivery delayed on srv-28
T1097,Mouse not detected after system restart,Network Issue,Low,,,,,,Sales,no,mouse not detected after system restart
T1098,Amit reports: Internet is very slow today in VPN,Hardware Issue,High,Amit,,VPN,,,Finance,yes,amit reports internet is very slow today in vpn
T1099,Karan reports: Mouse not detected after system restart in Chrome showing blue screen,Hardware Issue,Medium,Karan,keyboard,Chrome,,blue screen,IT,yes,karan reports mouse not detected after system restart in chrome showing blue screen
T1100,Anita reports: VPN not connecting from home in Excel on SRV-24 showing blue screen,Email / Communication Issue,High,Anita,desktop,Excel,SRV-24,blue screen,Admin,yes,anita reports vpn not connecting from home in excel on srv-24 showing blue screen
T1101,Sneha reports: LAN connection not working showing server not reachable,Email / Communication Issue,High,Sneha,monitor,,,server not reachable,HR,yes,sneha reports lan connection not working showing server not reachable
T1102,Email delivery delayed,Network Issue,Low,,,,,,Sales,no,email delivery delayed
T1103,Mouse not detected after system restart in Chrome on SRV-29,Access / Authentication Issue,Medium,,desktop,Chrome,SRV-29,,Admin,yes,mouse not detected after system restart in chrome on srv-29
T1104,LAN connection not working,Hardware Issue,Medium,,,,,,HR,no,lan connection not working
T1105,LAN connection not working in Chrome,Hardware Issue,Medium,,printer,Chrome,,,IT,yes,lan connection not working in chrome
T1106,Outlook not syncing emails,Network Issue,Medium,,,,,,Admin,no,outlook not syncing emails
T1107,Internet is very slow today,Email / Communication Issue,Low,,,,,,Operations,no,internet is very slow today
T1108,Amit reports: LAN connection not working,Email / Communication Issue,Medium,Amit,,,,,Sales,yes,amit reports lan connection not working
T1109,Priya reports: Internet is very slow today in Chrome,Hardware Issue,High,Priya,,Chrome,,,IT,yes,priya reports internet is very slow today in chrome
T1110,Unable to login due to access denied on SRV-19,Access / Authentication Issue,Medium,,,,SRV-19,,HR,yes,unable to login due to access denied on srv-19
T1111,Neha reports: VPN not connecting from home in VPN,Network Issue,Low,Neha,,VPN,,,Operations,yes,neha reports vpn not connecting from home in vpn
T1112,Software installation failing with error,Access / Authentication Issue,Low,,,,,,Operations,no,software installation failing with error
T1113,Sneha reports: VPN not connecting from home showing application crash,Email / Communication Issue,High,Sneha,,,,application crash,Admin,yes,sneha reports vpn not connecting from home showing application crash
T1114,Mouse not detected after system restart,Network Issue,Medium,,,,,,HR,no,mouse not detected after system restart
T1115,Outlook not syncing emails,Hardware Issue,Low,,,,,,IT,no,outlook not syncing emails
T1116,Rahul reports: Email delivery delayed in Chrome,Software Issue,Medium,Rahul,laptop,Chrome,,,Finance,yes,rahul reports email delivery delayed in chrome
T1117,Application crashes when opening,Access / Authentication Issue,Low,,,,,,HR,no,application crashes when opening
T1118,Sneha reports: Application crashes when opening in Excel,Hardware Issue,High,Sneha,desktop,Excel,,,Admin,yes,sneha reports application crashes when opening in excel
T1119,VPN not connecting from home in InternalTool on SRV-21 showing application crash,Hardware Issue,Low,,,InternalTool,SRV-21,application crash,HR,yes,vpn not connecting from home in internaltool on srv-21 showing application crash
T1120,Rahul reports: Keyboard keys not responding properly in Outlook on SRV-52,Network Issue,Medium,Rahul,,Outlook,SRV-52,,Finance,yes,rahul reports keyboard keys not responding properly in outlook on srv-52
T1121,Rahul reports: Keyboard keys not responding properly,Hardware Issue,Low,Rahul,system,,,,Operations,yes,rahul reports keyboard keys not responding properly
T1122,Rahul reports: Keyboard keys not responding properly in Outlook on SRV-59,Access / Authentication Issue,Low,Rahul,,Outlook,SRV-59,,Sales,yes,rahul reports keyboard keys not responding properly in outlook on srv-59
T1123,Priya reports: Application crashes when opening in Outlook,Software Issue,Medium,Priya,,Outlook,,,Finance,yes,priya reports application crashes when opening in outlook
T1124,LAN connection not working,Network Issue,High,,,,,,HR,no,lan connection not working
T1125,Software installation failing with error,Email / Communication Issue,Medium,,,,,,HR,no,software installation failing with error
T1126,Keyboard keys not responding properly,Software Issue,Medium,,,,,,Admin,no,keyboard keys not responding properly
T1127,Sneha reports: Email delivery delayed,Software Issue,Medium,Sneha,,,,,Sales,yes,sneha reports email delivery delayed
T1128,Keyboard keys not responding properly,Email / Communication Issue,High,,,,,,Finance,no,keyboard keys not responding properly
T1129,Amit reports: Unable to login due to access denied in VPN on SRV-16 showing access denied,Other / General Support,Medium,Amit,,VPN,SRV-16,access denied,IT,yes,amit reports unable to login due to access denied in vpn on srv-16 showing access denied
T1130,Priya reports: VPN not connecting from home in SAP on SRV-23,Other / General Support,High,Priya,monitor,SAP,SRV-23,,HR,yes,priya reports vpn not connecting from home in sap on srv-23
T1131,Unable to login due to access denied,Other / General Support,High,,,,,,Sales,no,unable to login due to access denied
T1132,Email delivery delayed,Access / Authentication Issue,Medium,,,,,,HR,no,email delivery delayed
T1133,Outlook not syncing emails,Email / Communication Issue,High,,,,,,Admin,no,outlook not syncing emails
T1134,Unable to login due to access denied,Access / Authentication Issue,High,,,,,,HR,no,unable to login due to access denied
T1135,Software installation failing with error,Other / General Support,Medium,,,,,,Sales,no,software installation failing with error
T1136,Outlook not syncing emails,Other / General Support,High,,,,,,IT,no,outlook not syncing emails
T1137,VPN not connecting from home,Hardware Issue,High,,,,,,Finance,no,vpn not connecting from home
T1138,Internet is very slow today showing access denied,Hardware Issue,Medium,,desktop,,,access denied,Finance,yes,internet is very slow today showing access denied
T1139,Application crashes when opening,Other / General Support,Low,,,,,,Finance,no,application crashes when opening
T1140,Sneha reports: Email delivery delayed showing slow performance,Email / Communication Issue,Low,Sneha,,,,slow performance,Admin,yes,sneha reports email delivery delayed showing slow performance
T1141,VPN not connecting from home,Network Issue,High,,,,,,Operations,no,vpn not connecting from home
T1142,LAN connection not working,Email / Communication Issue,High,,,,,,Finance,no,lan connection not working
T1143,VPN not connecting from home,Network Issue,High,,,,,,Operations,no,vpn not connecting from home
T1144,Rahul reports: Unable to login due to access denied on SRV-50 showing connection timeout,Access / Authentication Issue,Low,Rahul,PC,,SRV-50,connection timeout,Sales,yes,rahul reports unable to login due to access denied on srv-50 showing connection timeout
T1145,Rahul reports: Keyboard keys not responding properly on SRV-45,Hardware Issue,Medium,Rahul,laptop,,SRV-45,,Finance,yes,rahul reports keyboard keys not responding properly on srv-45
T1146,LAN connection not working,Other / General Support,High,,,,,,Finance,no,lan connection not working
T1147,LAN connection not working,Email / Communication Issue,Medium,,,,,,Sales,no,lan connection not working
T1148,Karan reports: LAN connection not working in Outlook on SRV-14 showing server not reachable,Hardware Issue,High,Karan,monitor,Outlook,SRV-14,server not reachable,Operations,yes,karan reports lan connection not working in outlook on srv-14 showing server not reachable
T1149,Application crashes when opening,Email / Communication Issue,Low,,,,,,Sales,no,application crashes when opening
T1150,VPN not connecting from home,Access / Authentication Issue,Low,,,,,,HR,no,vpn not connecting from home
T1151,Amit reports: Internet is very slow today in Outlook showing blue screen,Email / Communication Issue,Low,Amit,system,Outlook,,blue screen,HR,yes,amit reports internet is very slow today in outlook showing blue screen
T1152,Amit reports: Mouse not detected after system restart in Chrome showing 404 error,Email / Communication Issue,High,Amit,,Chrome,,404 error,Admin,yes,amit reports mouse not detected after system restart in chrome showing 404 error
T1153,Mouse not detected after system restart,Hardware Issue,Medium,,,,,,Sales,no,mouse not detected after system restart
T1154,Unable to login due to access denied in Excel on SRV-36 showing slow performance,Email / Communication Issue,Medium,,,Excel,SRV-36,slow performance,Sales,yes,unable to login due to access denied in excel on srv-36 showing slow performance
T1155,LAN connection not working,Email / Communication Issue,Low,,,,,,HR,no,lan connection not working
T1156,Outlook not syncing emails,Other / General Support,Medium,,,,,,Sales,no,outlook not syncing emails
T1157,VPN not connecting from home,Email / Communication Issue,Low,,,,,,Finance,no,vpn not connecting from home
T1158,Outlook not syncing emails,Hardware Issue,Medium,,,,,,Operations,no,outlook not syncing emails
T1159,Email delivery delayed,Email / Communication Issue,Medium,,,,,,Operations,no,email delivery delayed
T1160,Email delivery delayed,Network Issue,Low,,,,,,Finance,no,email delivery delayed
T1161,Outlook not syncing emails,Software Issue,Low,,,,,,Operations,no,outlook not syncing emails
T1162,Unable to login due to access denied,Email / Communication Issue,Medium,,,,,,Finance,no,unable to login due to access denied
T1163,Keyboard keys not responding properly,Access / Authentication Issue,Medium,,,,,,HR,no,keyboard keys not responding properly
T1164,Mouse not detected after system restart,Software Issue,High,,,,,,Sales,no,mouse not detected after system restart
T1165,Internet is very slow today,Hardware Issue,Low,,,,,,Operations,no,internet is very slow today
T1166,Email delivery delayed,Access / Authentication Issue,Medium,,,,,,HR,no,email delivery delayed
T1167,Software installation failing with error,Email / Communication Issue,Low,,,,,,Sales,no,software installation failing with error
T1168,Mouse not detected after system restart on SRV-44 showing slow performance,Other / General Support,Low,,mouse,,SRV-44,slow performance,Admin,yes,mouse not detected after system restart on srv-44 showing slow performance
T1169,VPN not connecting from home,Email / Communication Issue,High,,,,,,HR,no,vpn not connecting from home
T1170,LAN connection not working,Access / Authentication Issue,Medium,,,,,,Operations,no,lan connection not working
T1171,LAN connection not working,Hardware Issue,Medium,,,,,,Operations,no,lan connection not working
T1172,Mouse not detected after system restart on SRV-37,Software Issue,Low,,,,SRV-37,,Sales,yes,mouse not detected after system restart on srv-37
T1173,Unable to login due to access denied,Software Issue,High,,,,,,Operations,no,unable to login due to access denied
T1174,Amit reports: Application crashes when opening in VPN,Access / Authentication Issue,Medium,Amit,system,VPN,,,Admin,yes,amit reports application crashes when opening in vpn
T1175,Rahul reports: LAN connection not working in Teams on SRV-19,Email / Communication Issue,Low,Rahul,,Teams,SRV-19,,HR,yes,rahul reports lan connection not working in teams on srv-19
T1176,Outlook not syncing emails,Software Issue,Medium,,,,,,Admin,no,outlook not syncing emails
T1177,Unable to login due to access denied,Other / General Support,Low,,,,,,IT,no,unable to login due to access denied
T1178,Email delivery delayed,Hardware Issue,Medium,,,,,,HR,no,email delivery delayed
T1179,Outlook not syncing emails in Outlook,Other / General Support,Medium,,,Outlook,,,Finance,yes,outlook not syncing emails in outlook
T1180,Unable to login due to access denied in Teams,Access / Authentication Issue,Medium,,,Teams,,,Admin,yes,unable to login due to access denied in teams
T1181,Application crashes when opening,Access / Authentication Issue,Medium,,,,,,HR,no,application crashes when opening
T1182,Outlook not syncing emails,Email / Communication Issue,Medium,,,,,,IT,no,outlook not syncing emails
T1183,Internet is very slow today in InternalTool showing blue screen,Hardware Issue,High,,,InternalTool,,blue screen,Operations,yes,internet is very slow today in internaltool showing blue screen
T1184,Neha reports: Application crashes when opening in Teams,Network Issue,Low,Neha,,Teams,,,Finance,yes,neha reports application crashes when opening in teams
T1185,Priya reports: Outlook not syncing emails in SAP,Software Issue,Low,Priya,,SAP,,,Operations,yes,priya reports outlook not syncing emails in sap
T1186,VPN not connecting from home,Email / Communication Issue,Medium,,,,,,Operations,no,vpn not connecting from home
T1187,LAN connection not working,Hardware Issue,High,,,,,,IT,no,lan connection not working
T1188,Internet is very slow today,Access / Authentication Issue,Medium,,,,,,IT,no,internet is very slow today
T1189,Amit reports: Software installation failing with error in SAP,Software Issue,High,Amit,PC,SAP,,,Admin,yes,amit reports software installation failing with error in sap
T1190,Email delivery delayed,Hardware Issue,Low,,,,,,Sales,no,email delivery delayed
T1191,VPN not connecting from home,Software Issue,High,,,,,,Finance,no,vpn not connecting from home
T1192,Outlook not syncing emails,Hardware Issue,Low,,,,,,Admin,no,outlook not syncing emails
T1193,Sneha reports: Email delivery delayed in VPN on SRV-23,Access / Authentication Issue,Low,Sneha,,VPN,SRV-23,,IT,yes,sneha reports email delivery delayed in vpn on srv-23
T1194,Mouse not detected after system restart,Network Issue,Medium,,,,,,Finance,no,mouse not detected after system restart
T1195,Outlook not syncing emails,Hardware Issue,Medium,,,,,,Sales,no,outlook not syncing emails
T1196,Outlook not syncing emails,Hardware Issue,Medium,,,,,,IT,no,outlook not syncing emails
T1197,VPN not connecting from home,Network Issue,Low,,,,,,Sales,no,vpn not connecting from home
T1198,VPN not connecting from home showing login failed,Other / General Support,Low,,mouse,,,login failed,IT,yes,vpn not connecting from home showing login failed
T1199,Keyboard keys not responding properly in VPN,Software Issue,Medium,,PC,VPN,,,Sales,yes,keyboard keys not responding properly in vpn
T1200,Software installation failing with error,Email / Communication Issue,Medium,,,,,,Finance,no,software installation failing with error
